タイトル,所在地,緯度,経度,写真1,写真2,写真3,写真4,写真5,写真6,写真7,写真8,写真9,写真10,連絡先,分類,災害種別,備考
富岡東高等学校羽ノ浦校,阿南市羽ノ浦町中庄市50-1,33.95978,134.628085,,,,,,,,,,,0884-44-2054,指定避難所（法指定）,津波,
羽ノ浦公民館,阿南市羽ノ浦町宮倉大木38-4,33.953546,134.622298,,,,,,,,,,,0884-44-1120,指定避難所（法指定）,津波,
羽ノ浦総合国民体育館,阿南市羽ノ浦町宮倉沢田100,33.953331,134.619707,,,,,,,,,,,0884-44-5525,指定避難所（法指定）,津波,
那賀川図書館,阿南市那賀川町苅屋308-1,33.951165,134.660754,,,,,,,,,,,0884-42-3111,指定避難所（法指定）,津波,
那賀川社会福祉会館,阿南市那賀川町苅屋357-1,33.949359,134.663426,,,,,,,,,,,0884-42-3319,指定避難所（法指定）,津波,
今津こどもセンター,阿南市那賀川町今津浦喜来65-1,33.961215,134.650508,,,,,,,,,,,0884-42-0720,指定避難所（法指定）,津波,
今津小学校,阿南市那賀川町敷地238,33.963855,134.646302,,,,,,,,,,,0884-42-0702,指定避難所（法指定）,津波,2階以上
平島こどもセンター,阿南市那賀川町苅屋370-5,33.949804,134.66128,,,,,,,,,,,0884-21-2002,指定避難所（法指定）,津波,
橘体育館,阿南市橘町幸野18,33.878588,134.64803,,,,,,,,,,,0884-27-3044,指定避難所（法指定）,津波,
橘町総合センター,阿南市橘町豊浜36-15,33.872035,134.641118,,,,,,,,,,,0884-27-2585,指定避難所（法指定）,津波,
椿公民館椿泊分館,阿南市椿泊町出島9,33.832895,134.67788,,,,,,,,,,,0884-33-0003,指定避難所（法指定）,津波,
椿会館,阿南市椿町浜14,33.831242,134.677596,,,,,,,,,,,0884-33-1232,指定避難所（法指定）,津波,
新野中学校,阿南市新野町馬見21,33.844328,134.579515,,,,,,,,,,,0884-36-2040,指定避難所（法指定）,津波,
新野公民館,阿南市新野町西馬場18,33.847786,134.58208,,,,,,,,,,,0884-36-2176,指定避難所（法指定）,津波,
阿南Ｂ＆Ｇ海洋センター体育館,阿南市津乃峰町長浜387,33.887716,134.65425,,,,,,,,,,,0884-27-2427,指定避難所（法指定）,津波,
阿南市武道館,阿南市大潟町210-56,33.884777,134.668482,,,,,,,,,,,0884-28-1533,指定避難所（法指定）,津波,
見能林幼稚園,阿南市見能林町東野10-2,33.899364,134.673122,,,,,,,,,,,0884-22-7500,指定避難所（法指定）,津波,
山口小学校,阿南市山口町久延69-1,33.872758,134.581243,,,,,,,,,,,0884-26-0204,指定避難所（法指定）,津波,
桑野公民館,阿南市山口町内田150-1,33.871398,134.603763,,,,,,,,,,,0884-26-1644,指定避難所（法指定）,津波,
加茂谷中学校,阿南市加茂町南不け1,33.914464,134.55044,,,,,,,,,,,0884-25-0012,指定避難所（法指定）,津波,
加茂谷総合センター,阿南市加茂町野上22-11,33.921462,134.553034,,,,,,,,,,,0884-25-0113,指定避難所（法指定）,津波,
大野隣保館,阿南市中大野町南傍示249-1,33.927965,134.589461,,,,,,,,,,,0884-23-2716,指定避難所（法指定）,津波,
大野老人憩いの家,阿南市下大野町三条12-1,33.934036,134.594871,,,,,,,,,,,0884-22-1564,指定避難所（法指定）,津波,
大野保育所,阿南市下大野町小野74-1,33.931061,134.595279,,,,,,,,,,,0884-23-1107,指定避難所（法指定）,津波,
大野小学校,阿南市下大野町三条5,33.934548,134.595587,,,,,,,,,,,0884-22-1004,指定避難所（法指定）,津波,
阿南支援学校,阿南市上大野町大山田52,33.92545,134.58194,,,,,,,,,,,0884-22-2010,指定避難所（法指定）,津波,
長生公民館,阿南市長生町上荒井楠ノ前4-2,33.908672,134.619357,,,,,,,,,,,0884-23-5515,指定避難所（法指定）,津波,
長生小学校,阿南市長生町五反地25-2,33.909941,134.616659,,,,,,,,,,,0884-22-0604,指定避難所（法指定）,津波,
長生隣保館,阿南市長生町舟田58,33.916113,134.629877,,,,,,,,,,,0884-22-1919,指定避難所（法指定）,津波,
阿南第一中学校,阿南市長生町西方589-1,33.927017,134.624512,,,,,,,,,,,0884-22-1404,指定避難所（法指定）,津波,
横見老人ルーム,阿南市横見町願能地東52-2,33.924239,134.660577,,,,,,,,,,,0884-23-2259,指定避難所（法指定）,津波,
横見保育所,阿南市横見町長岡東50-1,33.930017,134.660786,,,,,,,,,,,0884-22-6701,指定避難所（法指定）,津波,
中野島保育所,阿南市柳島町八剣74,33.932483,134.644479,,,,,,,,,,,0884-22-5546,指定避難所（法指定）,津波,
中野島総合センター,阿南市柳島町中川原20-3,33.933213,134.640681,,,,,,,,,,,0884-22-1669,指定避難所（法指定）,津波,
明星保育所,阿南市上中町中原353-2,33.934962,134.62459,,,,,,,,,,,0884-22-0784,指定避難所（法指定）,津波,
商工業振興センター,阿南市富岡町今福寺34-4,33.918927,134.663243,,,,,,,,,,,0884-24-3232,指定避難所（法指定）,津波,
富岡保育所,阿南市富岡町トノ町96-1,33.920607,134.656017,,,,,,,,,,,0884-22-0136,指定避難所（法指定）,津波,
伊島中学校,阿南市伊島町瀬戸3,33.844248,134.808598,,,,,,,,,,,0884-33-0321,指定避難所（法指定）,津波,
新野高等学校,阿南市新野町室の久保12,33.850477,134.596016,,,,,,,,,,,0884-36-3215,指定避難所（法指定）,津波,
新野西小学校(休校中),阿南市新野町友常1,33.838612,134.541857,,,,,,,,,,,0884-36-2107,指定避難所（法指定）,津波,
新野小学校,阿南市南宮ノ久保70-1,33.847144,134.580975,,,,,,,,,,,0884-36-2021,指定避難所（法指定）,津波,
新野東小学校,阿南市新野町是国37-2,33.844952,134.603913,,,,,,,,,,,0884-36-2103,指定避難所（法指定）,津波,
阿南第二中学校,阿南市内原町竹ノ内口143-1,33.876776,134.628181,,,,,,,,,,,0884-26-0203,指定避難所（法指定）,津波,
桑野小学校,阿南市桑野町岡元40-1,33.873462,134.611552,,,,,,,,,,,0884-26-0200,指定避難所（法指定）,津波,
吉井小学校,阿南市吉井町原18-2,33.922477,134.559098,,,,,,,,,,,0884-25-0210,指定避難所（法指定）,津波,
阿南市クリーンピュア,阿南市熊谷町定方44,33.916565,134.577971,,,,,,,,,,,0884-21-5374,指定避難所（法指定）,津波,
科学センター,阿南市那賀川町上福井南川渕8-1,33.948854,134.681745,,,,,,,,,,,0884-42-1600,指定避難所（法指定）,津波,2階以上
那賀川公民館平島分館,阿南市那賀川町赤池307,33.942323,134.663034,,,,,,,,,,,0884-42-2902,指定避難所（法指定）,津波,2階
平島小学校,阿南市那賀川町赤池131-2,33.943547,134.662632,,,,,,,,,,,0884-42-0039,指定避難所（法指定）,津波,2階以上
那賀川スポーツセンター,阿南市那賀川町苅屋354-1,33.948487,134.663157,,,,,,,,,,,0884-42-0390,指定避難所（法指定）,津波,2階
那賀川中学校,阿南市那賀川町苅屋370-1,33.949746,134.661838,,,,,,,,,,,0884-42-0058,指定避難所（法指定）,津波,2階以上
那賀川公民館,阿南市那賀川町今津浦喜来31-1,33.962094,134.651517,,,,,,,,,,,0884-21-2019,指定避難所（法指定）,津波,2階
黒地文化センター,阿南市那賀川町黒地712-1,33.964058,134.641422,,,,,,,,,,,0884-42-2085,指定避難所（法指定）,津波,2階
阿南市勤労女性センター,阿南市羽ノ浦町春日野1-75,33.960941,134.616924,,,,,,,,,,,0884-44-5611,指定避難所（法指定）,津波,
阿南工業高等学校,阿南市宝田町今市中新開10-6,33.925237,134.639339,,,,,,,,,,,0884-22-1408,指定避難所（法指定）,津波,
宝田小学校,阿南市宝田町久保田１２４,33.92075,134.635563,,,,,,,,,,,0884-22-1134,指定避難所（法指定）,津波,
横見小学校,阿南市横見町前長岡67-1,33.928918,134.655492,,,,,,,,,,,0884-22-0363,指定避難所（法指定）,津波,2階以上
中野島小学校,阿南市上中町中原182-1,33.932714,134.628568,,,,,,,,,,,0884-22-0439,指定避難所（法指定）,津波,
椿町中学校,阿南市椿町宮ヶ谷23,33.834241,134.681203,,,,,,,,,,,0884-33-1008,指定避難所（法指定）,津波,
椿泊小学校,阿南市椿泊町東127,33.844489,134.716061,,,,,,,,,,,0884-33-0014,指定避難所（法指定）,津波,グラウンド
蒲生田小学校(休校中)　,阿南市椿町蒲生田2,33.836028,134.73819,,,,,,,,,,,0884-33-0811,指定避難所（法指定）,津波,校舎（休校中）
かもだ岬温泉保養施設,阿南市椿町船瀬60-2,33.831409,134.725892,,,,,,,,,,,0884-21-3030,指定避難所（法指定）,津波,敷地、建物
椿小学校,阿南市椿町黒田47,33.828448,134.666483,,,,,,,,,,,0884-33-1004,指定避難所（法指定）,津波,2階以上
福井南小学校（休校中）,阿南市福井町日の池122-1,33.798757,134.589553,,,,,,,,,,,0884-34-3001,指定避難所（法指定）,津波,
福井町総合センター,阿南市福井町古津198-2,33.836894,134.620964,,,,,,,,,,,0884-34-2250,指定避難所（法指定）,津波,敷地、建物
福井小学校,阿南市福井町大西192-1,33.838242,134.621948,,,,,,,,,,,0884-34-2013,指定避難所（法指定）,津波,敷地、校舎・体育館
福井中学校,阿南市福井町大西141,33.838687,134.62299,,,,,,,,,,,0884-34-2234,指定避難所（法指定）,津波,2階以上
橘小学校,阿南市橘町大浦166-1,33.870808,134.632806,,,,,,,,,,,0884-27-0002,指定避難所（法指定）,津波,
橘こどもセンター,阿南市橘町久保38-3,33.875131,134.640418,,,,,,,,,,,0884-26-8800,指定避難所（法指定）,津波,2階
津乃峰総合センター,阿南市津乃峰町長浜,33.884897,134.660064,,,,,,,,,,,,指定避難所（法指定）,津波,3階以上
津乃峰小学校,阿南市津乃峰町戎山129-37,33.884427,134.649929,,,,,,,,,,,0884-27-0227,指定避難所（法指定）,津波,3階
阿南工業高等専門学校,阿南市見能林町青木265,33.898017,134.667706,,,,,,,,,,,0884-23-7100,指定避難所（法指定）,津波,屋上
見能林小学校,阿南市見能林町西内35,33.900698,134.670453,,,,,,,,,,,0884-22-0506,指定避難所（法指定）,津波,2階以上
見能林公民館,阿南市見能林町念仏免4-1,33.901199,134.669485,,,,,,,,,,,0884-22-0501,指定避難所（法指定）,津波,2階
阿南中学校,阿南市見能林町南勘高1,33.905257,134.664831,,,,,,,,,,,0884-22-0539,指定避難所（法指定）,津波,2階以上
富岡幼稚園,阿南市領家町浜田182-1,33.922922,134.668613,,,,,,,,,,,0884-22-0561,指定避難所（法指定）,津波,2階
阿南社会福祉会館,阿南市今福寺40-17,33.918584,134.662302,,,,,,,,,,,0884-22-3290,指定避難所（法指定）,津波,2階以上
阿南ひまわり会館,阿南市富岡町北通33-1,33.921453,134.662664,,,,,,,,,,,0884-23-6600,指定避難所（法指定）,津波,2階以上
スポーツ総合センター,阿南市七見町下川田100-1,33.919641,134.684814,,,,,,,,,,,0884-22-2300,指定避難所（法指定）,津波,2階
富岡公民館,阿南市富岡町西池田135-1,33.915475,134.656573,,,,,,,,,,,0884-22-1028,指定避難所（法指定）,津波,
阿南市文化会館,阿南市富岡町西池田135-1,33.915694,134.656069,,,,,,,,,,,0884-21-0808,指定避難所（法指定）,津波,
富岡東中高等学校,阿南市領家町走寄102-2,33.921622,134.66496,,,,,,,,,,,0884-22-2120,指定避難所（法指定）,津波,2階以上
富岡小学校,阿南市領家町浜田200,33.924044,134.66747,,,,,,,,,,,0884-22-0066,指定避難所（法指定）,津波,2階以上
富岡西高等学校,阿南市富岡町小山18-3,33.919432,134.650261,,,,,,,,,,,0884-22-0041,指定避難所（法指定）,津波,
鳴門高等学校（体育館）,鳴門市撫養町斎田字岩崎135-1,34.17920973,134.6005111,,,,,,,,,,,088-685-3217,指定避難所（法指定）,"洪水,高潮,崖崩れ等,地震,津波,内水反乱",避難所
撫養幼稚園,鳴門市撫養町斎田字岩崎134-3,34.17778515,134.6012996,,,,,,,,,,,088-686-4093,指定避難所（法指定）,,避難所
撫養小学校（体育館）,鳴門市撫養町斎田字岩崎72,34.17683541,134.6014874,,,,,,,,,,,088-685-1316,指定避難所（法指定）,地震,避難所
斎田公民館,鳴門市撫養町斎田字岩崎145,34.1775283,134.6007296,,,,,,,,,,,088-685-4286,指定避難所（法指定）,,避難所
斎田集会所,鳴門市撫養町斎田字岩崎86-1,34.17731472,134.6023671,,,,,,,,,,,－,指定避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",避難所
コミュニティセンター新開会館,赤石町6-60,33.982576,134.614191,,,,,,,,,,,0885-38-1931,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
新開小学校,大林町字中津37,33.978901,134.617796,,,,,,,,,,,0885-37-1102,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
コミュニティ交流センターみさき,和田島町字遠見73-11,34.007633,134.628096,,,,,,,,,,,,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
東とくしま農業協同組合和田島支所,和田島町字明神北14,33.996898,134.641142,,,,,,,,,,,0885-38-2111,指定避難所（法定外）,,
和田島保育所,和田島町字明神北131-2,33.997396,134.640863,,,,,,,,,,,0885-37-2044,指定避難所（法指定）,,
和田島漁業協同組合,和田島町字西浜手10-33,33.998116,134.632849,,,,,,,,,,,0885-37-1621,指定避難所（法定外）,津波,
和田島公民館,和田島町字明神北129,33.99768,134.640326,,,,,,,,,,,0885-37-2723,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
和田島小学校,和田島町字山のはな8,33.996248,134.640326,,,,,,,,,,,0885-37-1911,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
目佐老人ルーム,坂野町字目佐83-1,33.967364,134.634077,,,,,,,,,,,0885-37-2225,指定避難所（法指定）,崖崩れ等,
東とくしま農業協同組合坂野支所,坂野町字種井19-1,33.981616,134.630432,,,,,,,,,,,0885-37-1501,指定避難所（法定外）,,
坂野公民館,坂野町字平田24-2,33.980058,134.633465,,,,,,,,,,,0885-38-2325,指定避難所（法指定）,,
目佐厚生福祉解放センター,坂野町字目佐101,33.967161,134.633853,,,,,,,,,,,0885-37-0358,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
坂野体育館（旧坂野中学校）,坂野町字根上り37,33.982193,134.631808,,,,,,,,,,,0885-38-1788,指定避難所（法指定）,,
坂野小学校,坂野町字根上り6-1,33.981891,134.633138,,,,,,,,,,,0885-37-1512,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
櫛渕湯谷集会所,櫛渕町字湯谷52,33.958151,134.583504,,,,,,,,,,,,指定避難所（法定外）,津波,
東谷集会所,櫛渕町字油免,33.959017,134.593321,,,,,,,,,,,,指定避難所（法定外）,,
櫛渕公民館,櫛渕町字北佃41,33.953093,134.583281,,,,,,,,,,,0885-38-2320,指定避難所（法指定）,,
櫛渕教育集会所,櫛渕町字関免5-5,33.954739,134.585266,,,,,,,,,,,0885-38-2213,指定避難所（法指定）,,
喰味谷老人ルーム,櫛渕町字喰味谷101,33.95626,134.580299,,,,,,,,,,,0885-38-1073,指定避難所（法指定）,津波,
櫛渕地区コミュニティ集会所,櫛渕町字萱原92-1,33.947864,134.572135,,,,,,,,,,,,指定避難所（法指定）,,
櫛渕小学校,櫛渕町字北佃45,33.953791,134.584172,,,,,,,,,,,0885-37-1058,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
青向集会所,立江町字南山192-1,33.953486,134.605667,,,,,,,,,,,,指定避難所（法定外）,,
しらさぎ浄園,立江町字大田ノ浦67-1,33.977478,134.598784,,,,,,,,,,,0885-38-1452,指定避難所（法指定）,"洪水,津波,内水反乱",
立江公民館,立江町字清水184-1,33.966964,134.60399,,,,,,,,,,,0885-37-1062,指定避難所（法指定）,,
小松島市立武道館,立江町字赤石74-2,33.978972,134.606273,,,,,,,,,,,0885-38-1788,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
立江寺,立江町字若松13,33.967851,134.60578,,,,,,,,,,,0885-37-1019,指定避難所（法定外）,,
小松島市立体育館,立江町字赤石74-2,33.979399,134.605994,,,,,,,,,,,0885-38-1788,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
ふれあいセンター立江,立江町字黒岩78-1,33.975672,134.605104,,,,,,,,,,,0885-38-0334,指定避難所（法指定）,崖崩れ等,
東とくしま農業協同組合立江支所,立江町字清水185-2,33.966632,134.603366,,,,,,,,,,,0885-38-2131,指定避難所（法定外）,,
立江体育館（旧立江中学校）,立江町字鍋寺36,33.963339,134.59935,,,,,,,,,,,0885-38-1788,指定避難所（法指定）,,
立江小学校,立江町字松本34-3,33.968812,134.604055,,,,,,,,,,,0885-37-1002,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
小松島老人憩の家(芝田公民館),田野町字月ノ輪78-6,33.987006,134.585513,,,,,,,,,,,0885-32-387,指定避難所（法指定）,,
芝田多目的センター,芝生町字西居屋敷107-3,33.995254,134.580199,,,,,,,,,,,0885-32-4656,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
芝田小学校,田野町字中須45,33.985276,134.583313,,,,,,,,,,,0885-32-0212,指定避難所（法指定）,"洪水,津波,内水反乱",災害種別「津波」については法定外
新居見老人いこいの家,新居見町字山路33,33.995308,134.564358,,,,,,,,,,,,指定避難所（法指定）,,
児安公民館,田浦町字近里9-1,34.001572,134.564812,,,,,,,,,,,0885-33-2510,指定避難所（法指定）,,
田浦地区コミュニティ集会所,田浦町字中村16-5,33.998629,134.555268,,,,,,,,,,,,指定避難所（法指定）,津波,
児安小学校,田浦町字近里27,34.001959,134.564935,,,,,,,,,,,0885-32-0171,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
小松島西高等学校,中田町字原ノ下28-1,34.01513,134.577574,,,,,,,,,,,0885-32-0129,指定避難所（法定外）,津波,災害種別「津波」については法定外
小松島厚生福祉解放センター,中郷町字加藤18-1,34.007922,134.571635,,,,,,,,,,,0885-32-5711,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
泰地総合センター,中郷町字桜馬場103-1,34.013112,134.57384,,,,,,,,,,,0885-33-0194,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
建島会館,中田町字狭間6-ｌ,34.017122,134.57222,,,,,,,,,,,,指定避難所（法定外）,,
千代小学校,中田町字奥林29,34.015157,134.575224,,,,,,,,,,,0885-32-0109,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
世代間交流健康センター,中郷町字桜馬場37,34.013754,134.571049,,,,,,,,,,,0885-32-2595,指定避難所（法指定）,,
ひのみね支援学校,中田町字新開4-1,34.015642,134.582815,,,,,,,,,,,0885-32-7847,指定避難所（法定外）,,
みなと高等学園,中田町字新開28-1,34.015099,134.583144,,,,,,,,,,,0885-34-9100,指定避難所（法定外）,津波,災害種別「津波」については法定外
生涯学習センター・市立図書館,小松島町字新港29-11,34.011546,134.586854,,,,,,,,,,,0885-32-1100,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
保健センター・ミリカホール,小松島町字新港9-10,34.010227,134.588594,,,,,,,,,,,0885-32-3551,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
元根井漁村センター,小松島町字根井33-3,34.01575,134.5909,,,,,,,,,,,,指定避難所（法指定）,,
北小松島公民館,中田町字脇谷41,34.016891,134.5869,,,,,,,,,,,0885-32-8430,指定避難所（法指定）,,
北小松島小学校,中田町字浜田33,34.015593,134.586588,,,,,,,,,,,0885-32-0342,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
勤労青少年ホーム,南小松島町1-16,34.005774,134.591183,,,,,,,,,,,0885-33-3283,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
南小松島公民館,松島町1-21,34.006957,134.585449,,,,,,,,,,,0885-33-0744,指定避難所（法指定）,,
中央会館,松島町5-6,34.008736,134.585245,,,,,,,,,,,0885-32-2030,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
コミュニティ金磯会館,金磯町7-1,33.994825,134.603926,,,,,,,,,,,0885-32-9559,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",
小松島高等学校,日開野町字高須47-1,34.004431,134.586897,,,,,,,,,,,0885-32-2166,指定避難所（法定外）,津波,災害種別「津波」については法定外
小松島市総合福祉センター,横須町11-7,34.001218,134.593855,,,,,,,,,,,0885-33-2255,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
小松島中学校,日開野町字弥三次3-1,34.002741,134.576812,,,,,,,,,,,0885-32-2044,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
南小松島小学校,小松島町字高須36,34.005116,134.585502,,,,,,,,,,,0885-32-0149,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
地蔵寺,松島町11,34.008087,134.582283,,,,,,,,,,,0885-32-1043,指定避難所（法定外）,,
小松島公民館,神田瀬町2,34.00987,134.581302,,,,,,,,,,,0885-32-0756,指定避難所（法指定）,,
東とくしま農業協同組合,堀川町3,34.006198,134.58253,,,,,,,,,,,0885-32-8111,指定避難所（法定外）,,
小松島小学校,神田瀬町2-63,34.010106,134.58061,,,,,,,,,,,0885-32-0128,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",災害種別「津波」については法定外
桧西集会所,鳴門市大麻町桧字ダンノ上32-4,34.154025,134.491341,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
リューネの森集会所,鳴門市大麻町桧字中山田13-151,34.157768,134.492137,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
椎尾谷集会所,鳴門市大麻町桧字椎尾谷35-2,34.16821394,134.4939123,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
川原場集会所,鳴門市大麻町桧字コモガ池90-2,34.149218,134.496742,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○
桧集会所,鳴門市大麻町桧字野神ノ北31－5,34.155732,134.496166,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
板東公民館,鳴門市大麻町板東字宝蔵103-1,34.154005,134.505269,,,,,,,,,,,088-689-3360,指定避難所（法指定）,"洪水,崖崩れ等,地震,津波,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
平草集会所,鳴門市大麻町板東字西平草62-12,34.164557,134.503756,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
